OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Tract,Tract_Area,tract_t,Lat,Long,OBJECTID,Tract_1,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Pesticides,Pesticides_Pctl,Tox_Releases,Tox_Releases_Pctl,Traffic,Traffic_Pctl,Drinking_Water,DrinkingWaterPctl,Lead,Lead_Pctl,Cleanups,Cleanups_Pctl,GroundwaterThreats,GW_Threats_Pctl,Haz_Waste,Haz_Waste_Pctl,Imp_Water_Bodies,ImpWaterBodPctl,Solid_Waste,Solid_Waste_Pctl,Pollution,PollutionScore,Pollution_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,LowBirthW_Pctl,Cardiovascular,Cardiovasc_Pctl,Education,Education_Pctl,Ling_Isol,Ling_Isol_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemploy_Pctl,HousBurd,HousBurd_Pctl,PopChar,PopCharScore,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,ApproxLoc,DAC_category,OBJECTID_12,MHI_2019_5YR,Avg_hshld_size,HCD_Low_2021,HCD_Moderate_2021,State_MHI_2019,State_MHI_Percent,Income_Group,DAC_and_or_LIC,Shape__Area,Shape__Length
1,06,037,204920,06037204920,2049.20,Census Tract 2049.20,G5020,S,909972,0,+34.0175004,-118.1974975,6037204920,909975,6037204920,-442643.190694775,166476.868195937,1788,6037204920,90023,2751,82.39390861,99.97478568,0.04791979,53.72744244,12.25164028,89.20970753,0.780832555,96.55258245,0,0,3682.693278,87.73443361,2522.622269,92.8375,787.9403354,92.53153491,92.56365969,98.3994959,38.75,92.96379246,20.5,68.91914328,11.62,99.65585705,7,66.73666527,4.85,73.08132875,77.67317719,9.483879507,99.86309894,76.1,82.76420738,7.11,90.89042853,20.87,90.15453639,52.2,97.39306505,17.1,81.55366085,62.6,93.3919598,6.4,61.53045289,20.3,63.96704689,83.75181393,8.687785263,95.78920827,13.3406,72.5918,14.0676,97.2737,1.7085,0.8361,0,0,0,0.1818,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3457,"$39,904",4,"$94,600","$96,000",75235,53.04%,Low,Yes,909975.249565125,3900.20222153915
2,06,037,205110,06037205110,2051.10,Census Tract 2051.10,G5020,S,286960,0,+34.0245059,-118.2142985,6037205110,286961,6037205110,-441895.606173864,164910.701255727,2270,6037205110,90023,3904,70.12662413,99.10489158,0.04756207,51.89794648,12.25398221,89.28438083,0.363317784,82.20286248,0,0,2808.570027,83.995999,752.2054963,40.525,787.9403354,92.53153491,98.69721887,99.98739761,12.75,70.4553938,3.55,23.49327578,9.81,99.40436797,7,66.73666527,5.55,77.64032073,67.55076168,8.247934583,97.26197884,76.1,82.76420738,5.68,68.53990249,20.87,90.15453639,60.7,99.39255885,26.3,93.38205441,60.8,92.19849246,5,44.35190005,28.5,87.8833967,81.96394796,8.502325451,94.45284922,18.8012,77.0492,4.1496,95.7992,1.5113,0.4611,0,2.2285,0,0,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3458,"$47,219",5,"$102,200","$103,700",75235,62.76%,Low,Yes,286960.736000061,2813.12813022
3,06,037,205120,06037205120,2051.20,Census Tract 2051.20,G5020,S,1466130,0,+34.0187546,-118.2117956,6037205120,1466128,6037205120,-442529.096668885,165153.85054266,1942,6037205120,90023,3548,75.72424125,99.74785678,0.04716458,50.54138146,12.27407804,89.42128189,0.571346006,92.08462974,0,0,4157.740072,90.0100025,928.4647117,53.6625,787.9403354,92.53153491,88.26029104,95.62696912,58.65,97.18178425,20,68.42105263,22.27,99.97352747,7,66.73666527,6.5,81.19129439,74.55681324,9.103372087,99.48973242,76.1,82.76420738,5.88,72.85091096,20.87,90.15453639,59,99.13945836,22.4,89.61970497,82.3,99.62311558,3.3,21.1087975,26.1,82.78833967,80.18955073,8.318262786,92.71306102,15.1353,76.1274,8.7373,96.2514,0.6764,2.0293,0,1.0428,0,0,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3459,"$26,844",4,"$94,600","$96,000",75235,35.68%,Low,Yes,1466128.07563782,6115.04689847068
4,06,037,206010,06037206010,2060.10,Census Tract 2060.10,G5020,S,1418138,20551,+34.0682177,-118.2320356,6037206010,1438691,6037206010,-437009.885289734,163256.254881201,1337,6037206010,90012,4121,63.58266616,97.30206757,0.04863521,56.96328563,13.32985065,95.00933416,0.552716115,91.58680772,0,0,1841.683939,77.5443861,1563.55891,79.3125,787.9403354,92.53153491,64.97714794,72.84183995,70.35,98.15229563,33.85,82.5170181,5.38,98.02779616,8,72.15455691,3.75,67.35395189,75.02951528,9.161088913,99.52706907,30.75,26.3334995,8.02,96.510136,10.73,35.90478564,49.4,96.22880283,21.1,87.88740019,58.4,90.47738693,7.6,72.52732952,18.7,57.37642586,66.90780472,6.940514033,75.73121533,9.0755,74.4722,16.4523,53.919,7.6923,1.092,0,36.86,0,0.4368,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3460,"$42,063",3,"$85,150","$86,400",75235,55.91%,Low,Yes,1438691.03701019,6421.12917254276
5,06,037,206050,06037206050,2060.50,Census Tract 2060.50,G5020,S,1643426,94606,+34.0299036,-118.2244531,6037206050,1738033,6037206050,-441132.780717879,164111.839754688,1789,6037206050,90023,2031,75.98557503,99.76046394,0.04753555,50.98942128,12.41537427,90.54138146,1.141426645,98.79278158,0,0,2566.769979,82.88322081,3665.685846,98.1125,787.9403354,92.53153491,65.2481266,73.23251418,33.55,89.94027622,13.75,55.63672588,9.24,99.23229649,7,66.73666527,23.1,98.96907216,76.29128192,9.315150369,99.73864343,51.49,58.47457627,10.32,99.70490121,12.45,50.12462612,43.8,92.6853961,22.1,89.22722967,58.9,90.86683417,9.6,84.57834461,25.6,81.83776933,78.63690799,8.157203268,91.13716591,8.9119,63.6632,27.4249,79.616,6.3516,4.2344,0.2462,7.7794,0,1.7725,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3461,"$23,380",2,"$75,700","$76,800",75235,31.08%,Low,Yes,1738032.949646,7759.97498382187
6,06,037,192510,06037192510,1925.10,Census Tract 1925.10,G5020,S,340750,0,+34.0798690,-118.3068568,6037192510,340750,6037192510,-435912.046599798,156254.143328043,1646,6037192510,90004,3840,45.98053678,83.24508321,0.04791979,53.72744244,12.01439591,79.1661481,0.33059504,79.41505912,0,0,1564.050659,74.15603901,1551.218903,79.125,787.9403354,92.53153491,65.04563602,72.93005671,2.35,27.64091079,3,22.11522497,0,0,0,0,0.2,9.667812142,48.21586988,5.887148136,65.72495333,49.01,55.23429711,8.33,97.66487041,12.6,51.29611167,34.9,85.18096684,32.5,96.71132765,50.9,82.93969849,5.6,52.5247267,33.9,95.24714829,75.29293333,7.810324408,87.00201715,12.3698,75.3385,12.2917,52.3177,6.0156,0.3646,0,38.5156,0.3646,2.4219,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3463,"$49,464",3,"$85,150","$86,400",75235,65.75%,Low,Yes,340749.920471191,2474.38391897733
7,06,037,192520,06037192520,1925.20,Census Tract 1925.20,G5020,S,307802,0,+34.0799255,-118.3024972,6037192520,307804,6037192520,-435898.590866611,156656.326597683,1647,6037192520,90004,5269,39.91874184,74.87392839,0.04791979,53.72744244,12.04695849,80.92097075,0.61566,93.31673927,0,0,1569.945679,74.30607652,2053.536003,87.9125,787.9403354,92.53153491,85.04209885,93.38374291,1.1,17.48786861,0,0,0.01,1.800132363,0,0,1,35.71592211,51.67517877,6.309529064,74.68574984,40.82,42.78414756,5.95,74.22376187,10.51,34.25972084,37.7,88.02834725,36.1,97.90228718,51.8,83.86934673,2.3,8.69338886,24.7,79.30291508,60.99090022,6.326738721,67.08270298,16.4927,74.758,8.7493,76.9026,5.7316,1.0059,0,15.0313,0.892,0.4365,Los Angeles,Los Angeles,CalEnviroScreen 3.0 Disadvantaged Communities Only,3464,"$45,823",3,"$85,150","$86,400",75235,60.91%,Low,Yes,307804.172130585,2379.56748672856
8,06,037,192610,06037192610,1926.10,Census Tract 1926.10,G5020,S,415408,0,+34.0813650,-118.2961539,6037192610,415407,6037192610,-435728.431642464,157238.786678586,1648,6037192610,90004,3703,52.35647809,90.39334342,0.0482775,55.38270068,12.10279177,84.76664592,0.641237712,94.17548227,0,0,1574.632975,74.3435859,3082.310819,96.2625,787.9403354,92.53153491,77.83272222,87.2715816,3.5,33.87458007,6.5,36.16138137,0.145,24.71211118,0,0,2,52.89805269,58.57091096,7.151496594,88.87367766,53.46,60.6555334,5.18,57.09520144,13.73,58.79860419,28.5,78.23335864,30.2,95.72337258,64.1,94.43467337,5.8,55.0234253,28.6,88.09885932,70.57625876,7.321051951,80.799294,13.9617,72.9409,13.0975,69.4572,14.8798,3.8347,0,9.7489,0,2.0794,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3465,"$35,948",3,"$85,150","$86,400",75235,47.78%,Low,Yes,415406.525333405,2788.51695962467
9,06,037,192700,06037192700,1927,Census Tract 1927,G5020,S,531205,0,+34.0800134,-118.2881064,6037192700,531204,6037192700,-435864.966000495,157984.077983963,1649,6037192700,90004,3449,47.82937964,85.28744327,0.0482775,55.38270068,12.16076534,87.35532047,0.74889,96.06720597,0,0,1633.504679,74.98124531,2499.944951,92.5625,787.9403354,92.53153491,66.21215403,74.35412728,14.8,74.50541247,25.5,75.41092479,0.88,83.0840503,0,0,1,35.71592211,65.68397353,8.020000121,96.34100809,49.08,55.45862413,4.02,27.12342828,12.62,51.34596211,20.6,65.79347001,25,92.36703207,51,83.04020101,3.1,18.31077564,31.1,92.19264892,57.49174852,5.963762957,61.6616238,10.2059,80.1102,9.684,62.2209,11.9165,1.9136,0,18.4401,0,5.5088,Los Angeles,Los Angeles,CalEnviroScreen 4.0 Top 25%,3466,"$52,603",3,"$85,150","$86,400",75235,69.92%,Low,Yes,531203.651199341,2930.41727489002
10,06,077,002000,06077002000,20,Census Tract 20,G5020,S,2008597,0,+37.9549678,-121.2449406,6077002000,2008592,6077002000,-6108.13343538602,-109241.391335696,660,6077002000,95205,3357,63.29097659,97.21381745,0.04632538,46.9943995,11.59562174,63.19850653,0.606297105,93.1051649,11.37786284,61.27586207,267.7313334,39.58489622,1329.485782,73.2,760.9505748,86.56175846,76.35439656,85.96093258,1.25,18.98096305,24.75,74.16569816,0.07,9.556585043,1,12.45275094,5,75.67010309,58.54520004,7.148357296,88.79900436,98.75,92.17347956,5.44,62.98434693,23.16,95.46360917,45.2,93.78638319,20.3,87.0212478,71.3,97.75125628,14.2,96.01769912,19.6,61.25475285,85.3533732,8.853919014,96.82299546,21.8648,64.9389,13.1963,80.3396,7.8642,7.4769,0,1.4894,1.1022,1.7277,San Joaquin,Stockton,CalEnviroScreen 4.0 Top 25%,6558,"$26,987",3,"$54,000","$81,000",75235,35.87%,Low,Yes,2008592.34327561,6472.16797092658
